"lnr" "Klasse" "Gesch" "Alter" "Groesse" "Gewicht" "Mathe" "Physik" "Deutsch" "Bio" "Fehltage"
1 6 "w" 12 124 42 3 NA 2 3 2
2 5 "w" 12 146 39 4 NA 2 2 3
3 10 "w" 17 174 64 4 3 5 2 4
4 8 "w" 15 138 53 5 6 4 3 0
5 8 "w" 15 147 56 5 4 3 2 3
6 9 "m" 16 162 65 2 2 4 2 2
7 6 "w" 14 141 49 2 NA 2 3 2
8 10 "w" 16 166 60 5 5 1 3 2
9 6 "w" 13 152 44 4 NA 2 2 1
10 5 "w" 12 151 39 5 NA 4 4 4
11 6 "w" 13 154 46 2 NA 2 1 4
12 5 "w" 12 163 41 1 NA 5 1 4
13 6 "m" 12 139 47 5 NA 5 4 1
14 7 "w" 14 145 51 4 NA 5 5 2
15 8 "w" 14 157 49 5 5 4 2 1
16 7 "w" 14 159 49 4 NA 2 3 1
17 9 "w" 15 149 55 1 2 3 2 3
18 6 "m" 13 144 49 1 NA 3 1 6
19 11 "m" 17 190 71 5 5 3 2 1
20 6 "m" 12 150 46 3 NA 2 3 6
21 9 "w" 17 165 65 3 6 5 1 5
22 5 "w" 13 151 47 2 NA 5 4 2
23 10 "w" 17 154 65 5 3 4 4 5
24 10 "w" 16 170 62 2 2 2 1 5
25 10 "w" 16 168 61 5 3 5 4 6
26 11 "w" 18 173 71 4 5 2 2 7
27 8 "w" 15 142 54 3 4 5 2 5
28 6 "m" 12 136 44 4 NA 5 4 4
29 8 "m" 16 177 65 4 4 4 3 4
30 11 "m" 17 182 70 2 2 1 2 6
31 9 "m" 15 158 59 3 2 2 1 2
32 10 "m" 17 183 69 2 1 3 2 2
33 9 "w" 16 163 60 2 3 1 2 3
34 11 "m" 17 173 71 2 2 2 1 4
35 11 "m" 17 175 69 2 2 2 1 1
36 10 "m" 16 182 65 2 3 5 2 2
37 8 "w" 16 150 60 3 2 3 2 4
38 6 "m" 12 137 46 2 NA 1 1 1
39 8 "m" 14 147 54 3 3 5 3 1
40 11 "w" 17 179 65 4 3 5 3 2
41 6 "w" 13 144 44 2 NA 3 3 4
42 6 "w" 13 152 46 5 NA 5 4 4
43 7 "m" 14 161 54 2 NA 3 3 4
44 9 "m" 15 155 61 2 3 3 3 3
45 9 "w" 16 172 62 2 1 3 1 2
46 8 "w" 15 150 55 5 5 2 3 3
47 12 "w" 18 165 70 3 4 3 2 3
48 8 "m" 14 157 55 2 1 5 1 5
49 8 "w" 14 129 52 5 3 4 5 1
50 7 "w" 13 146 45 1 NA 3 1 5
51 10 "w" 17 180 65 3 2 4 2 1
52 7 "m" 13 150 51 5 NA 5 5 6
53 8 "m" 15 179 60 4 4 3 2 2
54 10 "w" 17 145 64 4 4 3 2 2
55 6 "m" 12 142 44 1 NA 4 2 2
56 7 "w" 14 149 51 5 NA 3 3 3
57 5 "w" 12 145 40 4 NA 2 2 2
58 8 "w" 15 148 53 4 5 3 3 6
59 11 "m" 17 170 71 2 4 2 2 2
60 11 "m" 18 183 73 4 5 1 2 0
61 10 "m" 17 157 71 2 2 3 2 3
62 11 "w" 17 174 64 5 4 1 2 3
63 10 "m" 17 166 71 4 3 2 3 1
64 7 "m" 13 152 51 5 NA 5 4 4
65 8 "w" 14 142 48 5 5 2 3 2
66 8 "w" 14 167 49 3 2 3 1 4
67 9 "w" 16 156 59 2 3 2 1 3
68 8 "m" 14 160 55 2 1 2 2 2
69 10 "w" 16 151 58 3 3 2 1 2
70 10 "m" 16 152 65 3 2 3 2 1
71 8 "w" 15 163 57 5 6 3 3 2
72 7 "m" 13 134 49 3 NA 2 1 3
73 9 "w" 15 163 56 5 5 3 3 4
74 10 "w" 17 160 64 3 3 5 4 1
75 8 "w" 14 137 50 1 2 4 4 1
76 8 "w" 16 145 60 6 4 3 3 1
77 9 "w" 15 163 55 2 2 4 1 0
78 7 "w" 13 149 44 6 NA 2 3 2
79 6 "m" 12 161 44 5 NA 4 1 2
80 7 "w" 13 140 45 4 NA 2 2 1
81 11 "w" 17 155 65 5 6 5 5 6
82 6 "m" 12 145 44 4 NA 4 2 2
83 9 "m" 16 160 64 5 5 3 3 6
84 10 "m" 17 176 70 3 1 3 3 2
85 9 "w" 16 153 61 4 5 2 3 4
86 8 "m" 15 173 58 2 3 2 2 3
87 9 "m" 16 148 66 3 5 5 2 0
88 9 "m" 17 159 73 5 6 3 4 0
89 10 "m" 18 186 76 2 3 6 3 0
90 7 "w" 13 152 45 2 NA 5 3 1
91 8 "m" 18 181 74 2 3 4 2 4
92 8 "m" 15 149 59 4 4 5 3 3
93 6 "m" 13 150 49 5 NA 3 2 5
94 10 "m" 17 183 70 3 3 2 2 0
95 7 "m" 15 154 59 3 NA 4 2 3
96 7 "w" 14 149 50 3 NA 3 2 4
97 8 "w" 14 119 49 4 4 1 2 3
98 8 "w" 15 153 54 3 2 2 1 1
99 5 "w" 12 134 42 4 NA 5 4 3
100 7 "w" 14 152 49 5 NA 3 2 4
101 7 "w" 13 153 45 2 NA 2 2 5
102 11 "m" 17 170 70 2 2 4 1 2
103 7 "m" 14 169 56 2 NA 2 2 5
104 5 "w" 13 148 44 2 NA 5 2 7
105 6 "m" 13 158 49 3 NA 3 2 2
106 5 "m" 12 149 44 3 NA 4 3 5
107 11 "w" 18 187 69 5 3 2 3 2
108 9 "w" 15 151 55 2 3 2 2 1
109 7 "w" 13 163 46 3 NA 5 2 2
110 8 "w" 15 162 55 5 6 5 2 1
111 8 "m" 14 163 54 5 3 3 3 4
112 10 "w" 17 183 66 3 3 2 2 6
113 7 "w" 13 143 44 4 NA 2 3 2
114 11 "w" 17 156 66 5 4 2 1 3
115 11 "m" 18 172 74 5 4 3 3 2
116 9 "m" 17 167 69 3 2 3 3 1
117 10 "m" 17 154 70 6 4 1 2 3
118 6 "w" 13 150 45 4 NA 5 5 3
119 6 "m" 12 131 45 3 NA 2 3 6
120 10 "w" 16 168 61 2 2 3 1 3
121 9 "w" 15 158 57 2 2 2 2 1
122 7 "m" 13 153 50 3 NA 5 4 5
123 11 "w" 17 164 65 4 3 3 1 2
124 7 "w" 14 158 51 3 NA 2 1 1
125 9 "w" 16 165 61 2 3 1 1 3
126 10 "m" 18 176 75 5 5 5 5 5
127 11 "m" 18 158 77 4 4 5 2 1
128 6 "w" 12 136 40 1 NA 3 2 3
129 8 "w" 15 136 56 5 5 5 5 0
130 7 "m" 13 144 50 2 NA 2 2 3
131 8 "w" 14 163 51 2 2 5 3 4
132 11 "m" 17 174 71 2 2 4 3 3
133 10 "w" 17 170 65 3 1 5 3 3
134 7 "w" 13 143 46 5 NA 2 4 0
135 6 "m" 13 129 50 4 NA 2 4 2
136 8 "m" 14 157 53 2 3 4 1 5
137 12 "m" 18 178 74 3 3 4 2 2
138 7 "m" 13 158 51 3 NA 5 5 3
139 7 "m" 15 167 59 4 NA 2 2 4
140 5 "w" 12 152 40 3 NA 3 3 2
141 8 "m" 16 155 66 5 5 4 3 1
142 8 "w" 15 162 55 2 4 5 2 2
143 8 "m" 16 175 64 2 2 2 2 4
144 7 "w" 14 155 49 3 NA 5 4 5
145 10 "w" 17 165 65 4 5 5 3 1
146 9 "w" 16 160 60 4 4 2 3 2
147 6 "w" 13 146 46 2 NA 4 1 5
148 7 "m" 14 160 56 5 NA 3 3 3
149 8 "w" 15 152 56 4 5 5 4 5
150 11 "m" 17 172 70 2 1 2 2 2
151 11 "m" 17 162 69 5 6 4 4 2
152 10 "m" 17 155 70 2 3 2 2 5
153 6 "w" 14 144 49 5 NA 5 4 2
154 11 "w" 17 158 66 2 2 3 2 4
155 10 "m" 17 196 70 5 4 1 3 3
156 8 "m" 15 155 59 4 4 3 3 2
157 8 "w" 14 154 51 5 5 4 3 2
158 7 "m" 14 151 55 3 NA 2 2 1
159 8 "m" 15 157 59 2 1 4 2 2
160 10 "m" 16 153 66 3 3 2 4 2
161 9 "m" 15 160 61 3 3 4 3 2
162 11 "m" 17 161 71 2 2 1 2 2
163 11 "w" 18 178 69 2 1 3 2 3
164 9 "m" 15 155 60 5 6 3 3 4
165 9 "w" 16 144 58 2 2 4 2 1
166 10 "w" 17 152 66 1 2 5 4 4
167 7 "m" 13 154 51 4 NA 3 4 4
168 10 "m" 17 183 70 2 3 2 2 5
169 7 "w" 13 163 46 3 NA 3 3 0
170 11 "m" 17 156 70 2 1 2 1 4
171 8 "m" 14 145 53 1 2 5 2 3
172 6 "m" 14 147 55 3 NA 2 1 7
173 11 "m" 17 153 71 5 5 2 3 2
174 7 "w" 14 145 49 5 NA 5 4 4
175 5 "m" 12 156 45 5 NA 1 1 0
176 8 "w" 15 150 55 2 1 4 3 3
177 7 "m" 14 171 56 2 NA 2 2 0
178 5 "m" 12 161 45 2 NA 2 1 1
179 7 "w" 15 159 55 3 NA 3 3 3
180 8 "m" 14 173 55 5 6 2 2 1
181 11 "m" 18 173 75 3 2 3 4 3
182 10 "w" 17 176 67 4 4 2 1 4
183 5 "w" 12 138 40 2 NA 2 2 2
184 12 "m" 18 184 75 5 6 2 2 4
185 9 "w" 16 168 60 5 4 4 4 1
186 5 "w" 13 142 47 3 NA 5 3 0
187 5 "m" 12 134 44 1 NA 3 1 3
188 8 "m" 15 161 60 2 3 5 3 1
189 7 "m" 14 141 55 4 NA 3 2 4
190 6 "m" 13 144 50 2 NA 1 1 5
191 8 "w" 16 151 60 3 2 2 3 4
192 9 "w" 16 144 59 5 6 1 1 2
193 10 "m" 17 171 70 2 2 3 1 2
194 11 "m" 18 184 76 2 2 4 1 1
195 7 "w" 13 138 44 5 NA 5 3 1
196 7 "m" 14 170 56 2 NA 3 3 1
197 8 "w" 14 176 51 4 6 5 4 5
198 5 "m" 13 144 50 2 NA 5 3 3
199 5 "w" 14 154 50 5 NA 2 2 1
200 9 "w" 16 155 59 2 4 5 1 3
201 6 "m" 13 160 49 2 NA 5 3 2
202 6 "m" 12 137 45 4 NA 4 4 5
203 6 "m" 12 153 45 3 NA 3 3 4
204 7 "w" 14 153 48 4 NA 4 3 1
205 7 "w" 14 150 50 2 NA 4 2 2
206 7 "m" 14 151 53 2 NA 2 1 4
207 6 "m" 13 161 50 2 NA 4 1 3
208 11 "m" 17 199 70 1 2 2 2 5
209 6 "w" 12 155 41 5 NA 3 4 1
210 10 "m" 17 153 70 2 2 2 2 2
211 11 "w" 17 159 65 2 2 3 4 4
212 12 "m" 18 168 73 2 2 2 2 4
213 10 "m" 17 157 70 5 4 1 1 3
214 9 "m" 16 163 66 2 1 2 2 3
215 10 "m" 16 163 66 3 3 2 2 6
216 6 "w" 13 122 45 2 NA 2 2 2
217 12 "m" 18 171 76 4 4 4 4 4
218 6 "m" 12 164 45 2 NA 3 2 1
219 8 "m" 15 168 62 2 2 5 1 5
220 6 "m" 14 146 56 5 NA 4 4 1
221 5 "m" 14 146 54 5 NA 3 2 5
222 9 "m" 15 174 60 2 1 3 1 1
223 8 "w" 14 157 51 2 1 4 2 2
224 7 "m" 14 156 56 1 NA 2 2 1
225 6 "m" 13 166 49 5 NA 3 3 3
226 8 "w" 14 151 51 2 2 5 1 5
227 7 "m" 13 138 49 4 NA 5 3 3
228 10 "w" 16 160 61 4 5 3 5 1
229 9 "w" 15 153 56 3 3 3 3 4
230 6 "w" 13 150 44 2 NA 3 2 5
231 8 "w" 14 142 51 2 1 3 2 2
232 11 "w" 18 172 69 4 6 2 3 5
233 10 "w" 17 154 65 5 5 1 2 2
234 9 "m" 16 154 65 2 1 2 2 3
235 8 "w" 14 141 51 4 4 1 3 2
236 5 "m" 12 135 44 2 NA 2 2 1
237 12 "w" 18 168 69 5 6 5 5 2
238 10 "w" 17 150 65 3 3 4 3 2
239 7 "m" 14 145 55 2 NA 3 1 10
240 9 "w" 16 172 60 2 4 4 1 3
241 10 "m" 17 172 69 3 3 4 2 3
242 6 "m" 14 161 55 4 NA 3 3 0
243 9 "m" 16 168 63 4 5 4 4 3
244 12 "m" 18 171 76 6 5 4 3 0
245 5 "m" 13 152 50 4 NA 1 2 4
246 7 "m" 13 156 52 5 NA 2 2 3
247 5 "w" 12 126 41 3 NA 2 2 2
248 11 "w" 17 162 65 1 1 4 1 4
249 10 "w" 16 165 60 2 3 1 1 5
250 9 "m" 16 180 66 2 2 5 4 6
251 9 "w" 16 161 61 2 3 5 2 2
252 9 "m" 15 160 59 4 3 3 4 3
253 10 "m" 17 159 70 2 2 1 1 2
254 11 "w" 18 172 69 2 3 2 2 3
255 7 "w" 14 151 51 2 NA 1 1 1
256 7 "m" 15 157 60 2 NA 3 2 4
257 6 "w" 12 121 39 2 NA 4 2 5
258 9 "w" 16 156 59 4 4 5 5 2
259 8 "m" 14 158 55 2 2 2 1 6
260 8 "w" 15 142 55 5 4 5 5 6
261 8 "m" 15 161 59 2 2 4 2 2
262 10 "m" 16 156 66 4 4 5 3 8
263 6 "m" 13 156 51 2 NA 1 2 7
264 7 "m" 14 160 54 5 NA 3 5 2
265 5 "w" 12 134 40 2 NA 2 2 0
266 8 "w" 16 175 61 5 4 4 4 2
267 5 "w" 14 150 49 5 NA 1 3 4
268 8 "m" 14 161 54 6 5 5 4 2
269 6 "w" 14 154 50 2 NA 4 2 3
270 7 "w" 13 144 44 2 NA 4 2 1
271 10 "w" 17 160 64 2 2 2 1 2
272 10 "w" 17 167 65 3 3 2 3 1
273 10 "w" 17 162 64 2 2 2 2 4
274 12 "w" 18 170 71 2 1 5 2 7
275 7 "w" 13 136 44 1 NA 2 2 4
276 10 "w" 17 154 66 3 4 2 1 6
277 10 "w" 16 147 59 3 3 2 3 3
278 9 "w" 16 155 61 2 1 2 2 3
279 9 "w" 16 155 58 4 5 3 1 4
280 3 "m" 12 126 45 6 NA 2 4 0
281 9 "m" 15 152 60 5 5 5 4 2
282 8 "w" 16 168 62 2 1 4 2 3
283 9 "m" 17 165 69 3 4 2 1 4
284 7 "m" 14 156 55 2 NA 3 2 3
285 6 "w" 14 162 51 2 NA 3 1 3
286 10 "m" 17 168 69 5 5 2 5 4
287 6 "w" 12 123 38 5 NA 2 2 1
288 5 "m" 13 136 50 3 NA 2 2 3
